742148,nan,9,30
188755,0.015279772636986636,0.04277999999999907,10,29
165237,0.03366528156332875,0.024540000000004628,10,30
190457,-0.1652998776009701,0.052990000000002625,10,31
119375,-0.024485798237017655,0.0674999999999983,10,32
165779,0.07340347443110848,0.05801000000000159,10,33
159265,-0.0122354092744291,0.03401999999999816,10,34
178695,0.07335860129600473,-0.0460000000000008,10,35
92070,0.018336287512988898,-0.060000000000002274,10,36
164471,0.0,-0.041000000000005345,10,37
167968,0.18911664226450334,-0.09499999999999603,10,38
242106,0.07619860404157397,-0.1239999999999924,10,39
138469,-0.00914466865816397,-0.1274999999999949,10,40
127346,-0.030491523356513825,-0.08499999999999659,10,41
93150,-0.03660322108345673,0.006499999999999773,10,42
107638,0.03658982802780966,0.02400000000000091,10,43
294050,0.02438726984515331,0.001999999999998181,10,44
251903,-0.10375343301801399,0.01599999999999682,10,45
169461,-0.13444967304283986,0.07099999999999795,10,46
98510,0.03665465208626201,0.09699999999999989,10,47
124595,-0.024442407577141483,0.09000000000000058,10,48
105711,0.0061713270369468335,0.03597999999999786,10,49
88139,0.02437385461208841,-0.011009999999998854,10,50
153706,0.042742871099726194,-0.021000000000000796,10,51
94443,0.04882514494963936,-0.05098999999999876,10,52
102718,-0.018312782322061495,-0.046979999999999224,10,53
124232,0.018309429356119095,-0.034999999999999434,10,54
100644,-0.04884899554251943,0.0,10,55
124447,-0.02931799025176935,0.030599999999995478,10,56
76751,0.041516576103537234,0.018799999999998818,10,57
102843,-0.08138983531389346,0.036639999999999874,10,58
110362,-0.04694950482943608,0.04451999999999998,10,59
72192,0.036665851869942465,0.03740000000000237,11,0
87241,-0.02444987775060638,0.03968000000000132,11,1
92806,-0.036688271982391024,0.021360000000004223,11,2
128599,0.05500213897207322,2.842170943040401e-15,11,3
106956,-0.012224191675314352,0.0029999999999944294,11,4
111785,-0.03974441285274765,0.003999999999999205,11,5
127511,0.06416131989002027,-0.013500000000001934,11,6
98797,0.030543677458755622,-0.01799999999999784,11,7
94730,-0.03678811633843386,-0.021459999999999015,11,8
225366,-0.042672861771727674,-0.003980000000001383,11,9
151756,0.040455596011157155,0.01576000000000022,11,10
74302,0.014542343883657747,0.008359999999998992,11,11
78028,-0.012221950623325734,-0.009039999999995985,11,12
66077,-0.018336287512971526,-0.008380000000002497,11,13
159193,0.01833292593496255,0.004240000000001487,11,14
104825,-0.04279513358194851,0.018000000000000682,11,15
112520,-0.04281345565748818,0.03199999999999932,11,16
223015,-0.06732358161455025,0.0580000000000041,11,17
135418,-0.018364348677750192,0.07399999999999522,11,18
174393,-0.07351139426611403,0.07999999999999546,11,19
133625,-0.05516395954643175,0.08499999999999659,11,20
268808,-0.0643993989389544,0.09000000000000058,11,21
